search_term,video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
seattle homeless,/watch?v=NtLKfYWbABo&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@ABC13Houston,ABC13 Houston,City of Seattle Pays for Homeless Couple's Plane Tickets,1.5K,7 years,"There's a new approach to handling the homeless population that is gaining attention in Seattle. This week, a homeless couple ...",2026-01-22 05:38:50.485164
seattle homeless,/watch?v=IPy7iKGVWXg&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@komonews,KOMO News,Seattle's Dr. Jose Rizal Park closed for renovations after damage from homeless camps,6.7K,6 days,Public access to a popular park on Seattle's Beacon Hill has been cut off as city crews begin renovations and repair damage ...,2026-01-22 05:38:50.486443
seattle homeless,/watch?v=Tm8YtCT6p4A&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@KING5Seattle,KING 5 Seattle,Seattle Mayor Katie Wilson delays Ballard homeless encampment sweep,2.2K,7 days,"Mayor Katie Wilson postponed an encampment sweep in Ballard Wednesday, pledging to find alternatives to displacing homeless ...",2026-01-22 05:38:50.487590
seattle homeless,/shorts/Gj1rW9Fa0Uo,/@komonews,KOMO News,Mount Baker encampment to be cleared amid growing debate on mayor-elect Katie Wilson's fix,8.5K,1 month,"A growing homeless camp is scheduled to be cleared out on Friday in Seattle's Mount Baker neighborhood, and people ...",2026-01-22 05:38:50.488828
seattle homeless,/shorts/wWWGzxfN75w,/@BreadofLifeMission-Seattle,Bread of Life Mission,Ryan shares openly about his experience being homeless in Seattle,1K,5 months,"What happens when you sit down and really listen? In this clip, Ryan shares openly about his experience being homeless in ...",2026-01-22 05:38:50.492190
seattle homeless,/watch?v=I1b4CYZb0JY&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@fox13seattle,FOX 13 Seattle,"Seattle Mayor candidates Harrell, Wilson square off on homelessness ahead of election",4.8K,2 months,"With Election Day on Tuesday, Seattle voters are choosing between incumbent Mayor Bruce Harrell and challenger Katie Wilson ...",2026-01-22 05:38:50.493434
seattle homeless,/shorts/HYYMlpUgZzk,/@KING5Seattle,KING 5 Seattle,Salmonella outbreak at Seattle homeless shelter,2.1K,1 year,,2026-01-22 05:38:50.494551
seattle homeless,/watch?v=uLgy4yWoEp0&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@komonews,KOMO News,Volunteers remove more than 80 propane tanks during Seattle homeless encampment cleanup,2K,1 year,Volunteers made a dangerous discovery in a greenbelt near the Elliot Bay Marina over the weekend. More than 80 propane tanks ...,2026-01-22 05:38:50.495699
seattle homeless,/watch?v=p1WyAEkgzI8&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@60minutes,60 Minutes,Homeless in Seattle: Why are so many of the city's citizens living on the streets?,50K,6 years,Anderson Cooper travels to Seattle to find out what the city's doing to deal with homelessness and why so many people don't ...,2026-01-22 05:38:57.391711
seattle homeless,/watch?v=9dqzTSbg0uQ&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@komonews,KOMO News,"Seattle landlords face fines, deadlines over unauthorized homeless encampments",6.3K,5 months,Homeless people who set up their camps on private lots can create some escalating costs for landlords. Property owners in ...,2026-01-22 05:38:57.393122
seattle homeless,/watch?v=ByI6hnp9Jzw&pp=ygUQc2VhdHRsZSBob21lbGVzcw%3D%3D,/@KING5Seattle,KING 5 Seattle,West Seattle's only overnight shelter scrambles for money to stay open,1.4K,4 weeks,The Westside Neighbors Shelter serves breakfast and dinner and offers 36 people a place to sleep. They may have to find ...,2026-01-22 05:38:57.395873
